date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:10	44682/44682	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:18:25%20GMT	http://bnbkeeper.webimprovise.com/au	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au.html	(from )
20:16:11	44690/44690	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:18:26%20GMT	http://bnbkeeper.webimprovise.com/robots.txt		(from )
20:16:14	152842/152842	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jul%202016%2013:42:12%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/bootstrap/css/bootstrap.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:14	36957/36957	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jul%202016%2013:42:12%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/fonts/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/fonts/font-awesome/css/font-awesome.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:16	115120/115120	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jul%202016%2013:42:12%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/fonts/icofont/css/icofont.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/fonts/icofont/css/icofont.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:17	16157/16157	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202016%2017:35:28%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-base.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-base.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:18	17656/17656	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202016%2017:39:40%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-elements.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-elements.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:20	39515/39515	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Nov%202016%2012:25:10%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-style.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-style.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:20	111/111	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202016%2017:39:40%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-blog.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-blog.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:20	106/106	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202016%2017:39:40%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-fonts.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/theme-fonts.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:22	79805/79805	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202016%2017:39:40%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/animate.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/animate.css	(from http://bnbkeeper.webimprovise.com/au)
20:16:22	15077/15077	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202016%2012:13:20%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/css/order.css	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/css/order.css	(from http://bnbkeeper.webimprovise.com/au)
